Country Group;Department;Subclass;Store Category;Total Stores Count;Avg Stcl Cnt;Store Count;Demand Avg;Demand Avg With Min/Max;Avg Stcl Cnt Max;Store Count;Demand Max;Demand Max With Min/Max;Avg Wsp Alokacyjny;Max Wsp Alokacyjny;Avg Wsp Alokacyjny With Min/Max;Max Wsp Alokacyjny With Min/Max
Non-UE;accessories CROPP;L_swimwear;A;10;21;8;34,07;34,07;3;8;87,64;87,64;3,41;8,76;3,41;8,76
Non-UE;accessories CROPP;L_swimwear;B;12;16;11;25,69;25,69;2;11;73,48;73,48;2,14;6,12;2,14;6,12
Non-UE;accessories CROPP;L_swimwear;C;2;13;2;4,00;4,00;2;2;11,17;11,17;2,00;5,58;2,00;5,58
RUSSIA;accessories CROPP;L_swimwear;A;31;25;30;92,40;92,40;4;30;228,14;228,14;2,98;7,36;2,98;7,36
RUSSIA;accessories CROPP;L_swimwear;B;33;23;32;55,05;55,05;3;32;168,98;168,98;1,67;5,12;1,67;5,12
RUSSIA;accessories CROPP;L_swimwear;C;14;23;11;9,94;9,94;3;11;38,72;38,72;0,71;2,77;0,71;2,77
UE;accessories CROPP;L_swimwear;A;16;25;16;39,98;39,98;4;16;121,67;121,67;2,50;7,60;2,50;7,60
UE;accessories CROPP;L_swimwear;B;85;24;80;126,56;126,56;3;80;454,44;454,44;1,49;5,35;1,49;5,35
UE;accessories CROPP;L_swimwear;C;116;15;109;122,49;122,49;2;109;504,62;504,62;1,06;4,35;1,06;4,35
UE;accessories CROPP;L_swimwear;D;56;8;45;35,83;35,83;1;45;144,92;144,92;0,64;2,59;0,64;2,59
Non-UE;accessories CROPP;L_wallets;A;4;43;3;15,89;15,89;6;3;37,44;37,44;3,97;9,36;3,97;9,36
Non-UE;accessories CROPP;L_wallets;B;7;39;6;20,30;20,30;5;6;51,30;51,30;2,90;7,33;2,90;7,33
Non-UE;accessories CROPP;L_wallets;C;7;35;7;12,94;15,00;5;7;38,70;38,70;1,85;5,53;2,14;5,53
Non-UE;accessories CROPP;L_wallets;D;6;27;6;10,80;12,11;4;6;32,99;32,99;1,80;5,50;2,02;5,50
RUSSIA;accessories CROPP;L_wallets;A;16;41;16;52,26;52,67;6;16;127,62;127,62;3,27;7,98;3,29;7,98
RUSSIA;accessories CROPP;L_wallets;B;23;37;23;52,20;56,54;5;23;151,25;151,25;2,27;6,58;2,46;6,58
RUSSIA;accessories CROPP;L_wallets;C;20;32;20;30,47;40,49;4;20;100,46;100,46;1,52;5,02;2,02;5,02
RUSSIA;accessories CROPP;L_wallets;D;19;24;19;20,43;38,00;3;19;74,02;74,66;1,08;3,90;2,00;3,93
UE;accessories CROPP;L_wallets;A;36;43;35;161,88;161,88;6;35;387,40;387,40;4,50;10,76;4,50;10,76
UE;accessories CROPP;L_wallets;B;103;39;96;292,89;296,70;5;96;755,80;755,80;2,84;7,34;2,88;7,34
UE;accessories CROPP;L_wallets;C;105;35;98;234,13;251,37;5;98;629,70;629,70;2,23;6,00;2,39;6,00
UE;accessories CROPP;L_wallets;D;29;27;28;38,41;61,50;4;28;125,17;127,04;1,32;4,32;2,12;4,38
Non-UE;accessories CROPP;M_underwear;A;5;32;5;47,39;52,72;5;5;105,16;105,16;9,48;21,03;10,54;21,03
Non-UE;accessories CROPP;M_underwear;B;5;22;4;33,90;42,97;3;4;64,27;64,27;6,78;12,85;8,59;12,85
Non-UE;accessories CROPP;M_underwear;C;5;21;5;21,78;30,14;3;5;47,14;47,14;4,36;9,43;6,03;9,43
Non-UE;accessories CROPP;M_underwear;D;9;11;8;26,77;54,00;1;8;55,70;61,55;2,97;6,19;6,00;6,84
RUSSIA;accessories CROPP;M_underwear;A;35;31;35;546,60;550,55;4;35;1117,91;1116,38;15,62;31,94;15,73;31,90
RUSSIA;accessories CROPP;M_underwear;B;31;24;31;241,62;267,81;3;31;495,82;495,82;7,79;15,99;8,64;15,99
RUSSIA;accessories CROPP;M_underwear;C;9;20;9;50,77;57,71;3;9;112,38;112,63;5,64;12,49;6,41;12,51
RUSSIA;accessories CROPP;M_underwear;D;3;19;3;8,55;18,00;3;3;18,55;19,00;2,85;6,18;6,00;6,33
